rainfall,temperature,humidity,soil_type,crop_type,acres,water_required
143.64,27.47,76.5,clay,rice,2.13,444.94
287.68,26.66,49.23,loam,maize,4.77,589.32
233.0,23.52,57.33,sandy,maize,2.3,527.78
199.66,32.15,73.16,clay,rice,2.01,332.28
89.0,29.53,64.1,sandy,sugarcane,1.73,215.22
89.0,37.31,76.93,clay,wheat,3.04,470.22
64.52,20.64,88.06,clay,wheat,3.01,386.64
266.54,32.88,45.83,clay,maize,0.57,300.76
200.28,35.26,75.48,silt,cotton,3.44,608.08
227.02,35.19,51.52,silt,rice,4.05,484.95
55.15,37.72,60.72,clay,cotton,3.27,471.91
292.48,34.58,41.64,clay,wheat,4.41,875.36
258.11,38.56,46.8,clay,maize,1.74,529.88
103.08,26.65,55.99,clay,maize,1.36,262.92
95.46,30.06,57.1,loam,maize,3.64,319.87
95.85,20.28,84.98,loam,maize,1.35,367.9
126.06,20.14,77.09,loam,maize,0.91,191.64
181.19,24.8,88.61,silt,rice,0.93,243.49
157.99,22.02,69.95,sandy,cotton,3.96,570.99
122.81,25.2,52.09,clay,wheat,0.63,171.16
202.96,23.54,56.38,loam,wheat,1.8,431.77
84.87,20.57,55.99,loam,maize,1.08,176.16
123.04,38.19,56.32,loam,maize,3.9,481.79
141.59,20.16,73.65,clay,maize,2.77,449.79
164.02,34.72,66.54,clay,sugarcane,1.42,320.8
246.29,23.04,59.27,sandy,wheat,3.88,708.61
99.92,38.24,47.45,silt,maize,3.88,431.67
178.56,37.86,41.11,sandy,cotton,2.85,636.18
198.1,33.08,50.94,clay,sugarcane,1.74,383.29
61.61,33.44,45.37,sandy,rice,3.14,428.5
201.89,20.11,79.27,loam,sugarcane,4.7,626.59
92.63,39.7,45.62,sandy,sugarcane,0.73,189.79
66.26,37.56,76.21,loam,sugarcane,1.7,269.38
287.22,37.9,59.28,sandy,cotton,1.78,535.93
291.41,33.18,43.67,loam,wheat,3.34,759.22
252.1,26.9,80.64,sandy,maize,3.43,437.46
126.15,37.87,68.98,silt,cotton,1.43,347.88
74.42,25.83,51.79,sandy,cotton,1.47,265.19
221.06,31.25,84.73,clay,maize,4.68,546.32
160.04,21.99,42.26,clay,sugarcane,3.9,627.11
80.51,38.44,50.09,loam,rice,4.7,483.57
173.79,22.82,77.6,clay,sugarcane,4.23,724.71
58.6,24.5,75.47,loam,sugarcane,2.31,209.55
277.33,31.16,54.46,silt,wheat,1.05,346.6
114.69,35.28,43.1,clay,sugarcane,3.33,356.52
215.63,32.39,82.9,clay,rice,2.08,323.18
127.93,24.64,55.68,loam,cotton,2.41,253.1
180.02,20.02,49.79,silt,sugarcane,2.42,406.97
186.68,35.14,65.8,silt,cotton,4.71,642.17
96.21,39.7,85.51,sandy,wheat,0.81,121.89
292.4,36.2,42.18,loam,rice,1.37,384.22
